iter	Passed	Remaining
407	5938	15108
408	5953	15093
409	5967	15078
410	5983	15068
411	5998	15054
412	6013	15040
413	6028	15027
414	6042	15012
415	6057	14997
416	6071	14982
417	6085	14966
418	6099	14950
419	6114	14937
420	6129	14922
421	6143	14908
422	6158	14894
423	6174	14883
424	6188	14866
425	6202	14850
426	6216	14836
427	6231	14820
428	6247	14809
429	6261	14794
430	6275	14778
431	6289	14762
432	6304	14749
433	6319	14736
434	6334	14722
435	6349	14709
436	6363	14693
437	6380	14683
438	6396	14671
439	6411	14659
440	6425	14643
441	6441	14630
442	6457	14620
443	6472	14607
444	6485	14588
445	6499	14572
446	6514	14559
447	6529	14545
448	6546	14535
449	6561	14522
450	6574	14504
451	6588	14489
452	6603	14475
453	6617	14460
454	6633	14448
455	6648	14435
456	6663	14420
457	6679	14408
458	6694	14395
459	6708	14379
460	6723	14365
461	6738	14353
462	6754	14339
463	6768	14324
464	6783	14311
465	6797	14295
466	6811	14278
467	6825	14264
468	6840	14250
469	6854	14234
470	6869	14220
471	6882	14203
472	6897	14188
473	6911	14173
474	6927	14160
475	6942	14147
476	6957	14134
477	6974	14123
478	6990	14111
479	7004	14096
480	7019	14083
481	7034	14068
482	7048	14053
483	7063	14039
484	7079	14026
485	7094	14013
486	7108	13998
487	7123	13983
488	7138	13969
489	7153	13956
490	7168	13943
491	7183	13929
492	7197	13913
493	7213	13902
494	7228	13887
495	7242	13872
496	7258	13860
497	7272	13844
498	7286	13827
499	7300	13812
500	7315	13798
501	7329	13782
502	7343	13766
503	7358	13753
504	7373	13739
505	7389	13726
506	7403	13712
507	7417	13696
508	7433	13683
509	7448	13670
510	7464	13657
511	7478	13643
512	7493	13628
513	7507	13613
514	7522	13598
515	7535	13582
516	7550	13567
517	7564	13552
518	7580	13538
519	7592	13520
520	7606	13505
521	7620	13488
522	7633	13471
523	7648	13457
524	7662	13442
525	7678	13430
526	7692	13413
527	7705	13397
528	7719	13381
529	7732	13364
530	7748	13351
